	Coeff Var	Mean Flow	Median Flow	Peak Flow	R-B index	Tqmean	Station
	Coeff Var	Mean Flow	Median Flow	Peak Flow	R-B index	Tqmean	Station
1	46.28506385609318	371.32167741935484	271.75	1162.24	0.007385361804460465	2.34	Wildcat
2	65.00995136438733	640.7542000000001	432.62	2293.22	0.014003890543466336	4.4	Wildcat
3	65.21889589318079	922.6751612903223	634.98	3089.5	0.02247674795779199	8.78	Wildcat
4	77.40710635707944	1045.4047741935485	650.04	4018.82	0.02727383499773606	8.9	Wildcat
5	73.76526312947676	1147.6435221674874	765.07	3952.74	0.029428131573099515	10.28	Wildcat
6	65.80968972166622	1422.2251612903228	1102.56	4162.24	0.03316806484094577	15.84	Wildcat
7	65.24192029793035	1373.3724242424244	986.85	4316.98	0.03311246529188046	14.6	Wildcat
8	64.2782128242618	1136.8360763660305	797.5918367346939	3892.9795918367345	0.03024414455978186	11.44	Wildcat
9	75.41663817546963	1073.0213333333331	728.46	3995.76	0.031685559644262486	9.86	Wildcat
10	66.07878597468456	663.1460645161292	431.74	2511.94	0.020481399834486682	5.12	Wildcat
11	70.04869029436081	331.75219354838714	217.08	1489.16	0.011089327196463685	2.1	Wildcat
12	51.54777715480872	345.4254	228.017	1276.56	0.010521563345982974	2.28	Wildcat
	Coeff Var	Mean Flow	Median Flow	Peak Flow	R-B index	Tqmean	Station
1	24.748246179076233	491.2212903225806	452.26	863.82	0.0032172885486663437	2.62	Tippe
2	30.0505602795865	688.158	620.79	1239.26	0.004736146801310456	6.24	Tippe
3	31.32764937670464	935.2361290322583	860.28	1722.58	0.006939871336141104	11.68	Tippe
4	37.60277376569959	1118.534193548387	951.86	2347.52	0.009402308522850905	11.94	Tippe
5	43.29568910361238	1243.4372413793108	1041.95	2546.44	0.010350837278734856	13.88	Tippe
6	33.23218779675563	1586.0045161290325	1462.52	2845.3	0.011918860767261381	24.16	Tippe
7	33.27928344868607	1555.0520000000004	1467.68	2717.64	0.011015098234322689	22.48	Tippe
8	35.5475003695474	1219.6025806451612	1085.26	2264.42	0.009781594375183453	16.86	Tippe
9	31.983243199631957	1093.35	1013.61	2009.42	0.009600369898787335	12.3	Tippe
10	36.5373581138389	680.3464516129035	587.44	1383.04	0.006673706196159779	5.32	Tippe
11	31.02182129802363	471.6193548387098	401.72	914.0	0.003707130873495173	2.18	Tippe
12	26.538520945579183	409.1966666666668	383.07	737.88	0.0031013702735394662	2.24	Tippe
